image_id,tumor,image_path,annotation_path,mask_path,width,height,num_shapes,polygon_count,rectangle_count,used_rectangle_fallback,mask_area_pixels
IMG000001.jpeg,1,data\raw\images\IMG000001.jpeg,data\raw\Annotations\IMG000001.json,data\processed\masks\IMG000001.png,3213,2397,2,1,1,False,296413
IMG000002.jpeg,1,data\raw\images\IMG000002.jpeg,data\raw\Annotations\IMG000002.json,data\processed\masks\IMG000002.png,1640,3032,2,1,1,False,131932
IMG000003.jpeg,1,data\raw\images\IMG000003.jpeg,data\raw\Annotations\IMG000003.json,data\processed\masks\IMG000003.png,2276,3032,2,1,1,False,121129
IMG000004.jpeg,1,data\raw\images\IMG000004.jpeg,data\raw\Annotations\IMG000004.json,data\processed\masks\IMG000004.png,2561,2817,2,1,1,False,91831
IMG000005.jpeg,1,data\raw\images\IMG000005.jpeg,data\raw\Annotations\IMG000005.json,data\processed\masks\IMG000005.png,2642,2656,2,1,1,False,89110
IMG000006.jpeg,1,data\raw\images\IMG000006.jpeg,data\raw\Annotations\IMG000006.json,data\processed\masks\IMG000006.png,1886,2984,2,1,1,False,808123
IMG000007.jpeg,1,data\raw\images\IMG000007.jpeg,data\raw\Annotations\IMG000007.json,data\processed\masks\IMG000007.png,2064,2506,2,1,1,False,593354
IMG000008.jpeg,1,data\raw\images\IMG000008.jpeg,data\raw\Annotations\IMG000008.json,data\processed\masks\IMG000008.png,1250,2120,2,1,1,False,61592
IMG000009.jpeg,1,data\raw\images\IMG000009.jpeg,data\raw\Annotations\IMG000009.json,data\processed\masks\IMG000009.png,1250,2468,2,1,1,False,49835
IMG000010.jpeg,1,data\raw\images\IMG000010.jpeg,data\raw\Annotations\IMG000010.json,data\processed\masks\IMG000010.png,2395,2032,2,1,1,False,131881
IMG000011.jpeg,1,data\raw\images\IMG000011.jpeg,data\raw\Annotations\IMG000011.json,data\processed\masks\IMG000011.png,3320,3408,2,1,1,False,305644
IMG000012.jpeg,1,data\raw\images\IMG000012.jpeg,data\raw\Annotations\IMG000012.json,data\processed\masks\IMG000012.png,2800,3408,2,1,1,False,272030
IMG000013.jpeg,1,data\raw\images\IMG000013.jpeg,data\raw\Annotations\IMG000013.json,data\processed\masks\IMG000013.png,3320,3408,4,2,2,False,182494
IMG000014.jpeg,1,data\raw\images\IMG000014.jpeg,data\raw\Annotations\IMG000014.json,data\processed\masks\IMG000014.png,3320,2880,2,1,1,False,155144
IMG000015.jpeg,1,data\raw\images\IMG000015.jpeg,data\raw\Annotations\IMG000015.json,data\processed\masks\IMG000015.png,2015,3408,2,1,1,False,161954
IMG000016.jpeg,1,data\raw\images\IMG000016.jpeg,data\raw\Annotations\IMG000016.json,data\processed\masks\IMG000016.png,2157,3408,2,1,1,False,120577
