image_id,tumor,has_image,image_path,has_annotation,annotation_path,width,height
IMG000001.jpeg,1,True,data\raw\images\IMG000001.jpeg,True,data\raw\Annotations\IMG000001.json,3213,2397
IMG000002.jpeg,1,True,data\raw\images\IMG000002.jpeg,True,data\raw\Annotations\IMG000002.json,1640,3032
IMG000003.jpeg,1,True,data\raw\images\IMG000003.jpeg,True,data\raw\Annotations\IMG000003.json,2276,3032
IMG000004.jpeg,1,True,data\raw\images\IMG000004.jpeg,True,data\raw\Annotations\IMG000004.json,2561,2817
IMG000005.jpeg,1,True,data\raw\images\IMG000005.jpeg,True,data\raw\Annotations\IMG000005.json,2642,2656
IMG000006.jpeg,1,True,data\raw\images\IMG000006.jpeg,True,data\raw\Annotations\IMG000006.json,1886,2984
IMG000007.jpeg,1,True,data\raw\images\IMG000007.jpeg,True,data\raw\Annotations\IMG000007.json,2064,2506
IMG000008.jpeg,1,True,data\raw\images\IMG000008.jpeg,True,data\raw\Annotations\IMG000008.json,1250,2120
IMG000009.jpeg,1,True,data\raw\images\IMG000009.jpeg,True,data\raw\Annotations\IMG000009.json,1250,2468
IMG000010.jpeg,1,True,data\raw\images\IMG000010.jpeg,True,data\raw\Annotations\IMG000010.json,2395,2032
IMG000011.jpeg,1,True,data\raw\images\IMG000011.jpeg,True,data\raw\Annotations\IMG000011.json,3320,3408
IMG000012.jpeg,1,True,data\raw\images\IMG000012.jpeg,True,data\raw\Annotations\IMG000012.json,2800,3408
IMG000013.jpeg,1,True,data\raw\images\IMG000013.jpeg,True,data\raw\Annotations\IMG000013.json,3320,3408
IMG000014.jpeg,1,True,data\raw\images\IMG000014.jpeg,True,data\raw\Annotations\IMG000014.json,3320,2880
IMG000015.jpeg,1,True,data\raw\images\IMG000015.jpeg,True,data\raw\Annotations\IMG000015.json,2015,3408
IMG000016.jpeg,1,True,data\raw\images\IMG000016.jpeg,True,data\raw\Annotations\IMG000016.json,2157,3408
IMG000017.jpeg,1,True,data\raw\images\IMG000017.jpeg,True,data\raw\Annotations\IMG000017.json,2039,3056
IMG000018.jpeg,1,True,data\raw\images\IMG000018.jpeg,True,data\raw\Annotations\IMG000018.json,2135,3056
IMG000019.jpeg,1,True,data\raw\images\IMG000019.jpeg,True,data\raw\Annotations\IMG000019.json,1900,3056
IMG000020.jpeg,1,True,data\raw\images\IMG000020.jpeg,True,data\raw\Annotations\IMG000020.json,2232,3056
IMG000021.jpeg,1,True,data\raw\images\IMG000021.jpeg,True,data\raw\Annotations\IMG000021.json,1940,3056
IMG000022.jpeg,1,True,data\raw\images\IMG000022.jpeg,True,data\raw\Annotations\IMG000022.json,1951,3056
IMG000023.jpeg,1,True,data\raw\images\IMG000023.jpeg,True,data\raw\Annotations\IMG000023.json,1723,3056
IMG000024.jpeg,1,True,data\raw\images\IMG000024.jpeg,True,data\raw\Annotations\IMG000024.json,2544,3056
IMG000025.jpeg,1,True,data\raw\images\IMG000025.jpeg,True,data\raw\Annotations\IMG000025.json,2544,3056
IMG000026.jpeg,1,True,data\raw\images\IMG000026.jpeg,True,data\raw\Annotations\IMG000026.json,3056,2544
IMG000027.jpeg,1,True,data\raw\images\IMG000027.jpeg,True,data\raw\Annotations\IMG000027.json,2544,3056
IMG000028.jpeg,1,True,data\raw\images\IMG000028.jpeg,True,data\raw\Annotations\IMG000028.json,2544,3056
IMG000029.jpeg,1,True,data\raw\images\IMG000029.jpeg,True,data\raw\Annotations\IMG000029.json,2544,3056
IMG000030.jpeg,1,True,data\raw\images\IMG000030.jpeg,True,data\raw\Annotations\IMG000030.json,2544,3056
IMG000031.jpeg,1,True,data\raw\images\IMG000031.jpeg,True,data\raw\Annotations\IMG000031.json,2544,3056
IMG000032.jpeg,1,True,data\raw\images\IMG000032.jpeg,True,data\raw\Annotations\IMG000032.json,2544,3056
IMG000033.jpeg,1,True,data\raw\images\IMG000033.jpeg,True,data\raw\Annotations\IMG000033.json,1511,3294
IMG000034.jpeg,1,True,data\raw\images\IMG000034.jpeg,True,data\raw\Annotations\IMG000034.json,1616,3408
IMG000035.jpeg,1,True,data\raw\images\IMG000035.jpeg,True,data\raw\Annotations\IMG000035.json,611,815
IMG000036.jpeg,1,True,data\raw\images\IMG000036.jpeg,True,data\raw\Annotations\IMG000036.json,817,811
IMG000037.jpeg,1,True,data\raw\images\IMG000037.jpeg,True,data\raw\Annotations\IMG000037.json,731,809
IMG000038.jpeg,1,True,data\raw\images\IMG000038.jpeg,True,data\raw\Annotations\IMG000038.json,669,818
IMG000039.jpeg,1,True,data\raw\images\IMG000039.jpeg,True,data\raw\Annotations\IMG000039.json,935,808
IMG000040.jpeg,1,True,data\raw\images\IMG000040.jpeg,True,data\raw\Annotations\IMG000040.json,549,819
IMG000041.jpeg,1,True,data\raw\images\IMG000041.jpeg,True,data\raw\Annotations\IMG000041.json,609,815
IMG000042.jpeg,1,True,data\raw\images\IMG000042.jpeg,True,data\raw\Annotations\IMG000042.json,607,808
IMG000043.jpeg,1,True,data\raw\images\IMG000043.jpeg,True,data\raw\Annotations\IMG000043.json,604,814
IMG000044.jpeg,1,True,data\raw\images\IMG000044.jpeg,True,data\raw\Annotations\IMG000044.json,505,815
IMG000045.jpeg,1,True,data\raw\images\IMG000045.jpeg,True,data\raw\Annotations\IMG000045.json,517,814
IMG000046.jpeg,1,True,data\raw\images\IMG000046.jpeg,True,data\raw\Annotations\IMG000046.json,455,809
IMG000047.jpeg,1,True,data\raw\images\IMG000047.jpeg,True,data\raw\Annotations\IMG000047.json,462,817
IMG000048.jpeg,1,True,data\raw\images\IMG000048.jpeg,True,data\raw\Annotations\IMG000048.json,586,804
IMG000049.jpeg,1,True,data\raw\images\IMG000049.jpeg,True,data\raw\Annotations\IMG000049.json,720,719
IMG000050.jpeg,1,True,data\raw\images\IMG000050.jpeg,True,data\raw\Annotations\IMG000050.json,917,812
IMG000051.jpeg,1,True,data\raw\images\IMG000051.jpeg,True,data\raw\Annotations\IMG000051.json,813,815
IMG000052.jpeg,1,True,data\raw\images\IMG000052.jpeg,True,data\raw\Annotations\IMG000052.json,501,813
IMG000053.jpeg,1,True,data\raw\images\IMG000053.jpeg,True,data\raw\Annotations\IMG000053.json,630,815
IMG000054.jpeg,1,True,data\raw\images\IMG000054.jpeg,True,data\raw\Annotations\IMG000054.json,628,816
IMG000055.jpeg,1,True,data\raw\images\IMG000055.jpeg,True,data\raw\Annotations\IMG000055.json,680,818
IMG000056.jpeg,1,True,data\raw\images\IMG000056.jpeg,True,data\raw\Annotations\IMG000056.json,730,809
IMG000057.jpeg,1,True,data\raw\images\IMG000057.jpeg,True,data\raw\Annotations\IMG000057.json,534,815
IMG000058.jpeg,1,True,data\raw\images\IMG000058.jpeg,True,data\raw\Annotations\IMG000058.json,510,813
IMG000059.jpeg,1,True,data\raw\images\IMG000059.jpeg,True,data\raw\Annotations\IMG000059.json,581,802
IMG000060.jpeg,1,True,data\raw\images\IMG000060.jpeg,True,data\raw\Annotations\IMG000060.json,588,790
IMG000061.jpeg,1,True,data\raw\images\IMG000061.jpeg,True,data\raw\Annotations\IMG000061.json,517,728
IMG000062.jpeg,1,True,data\raw\images\IMG000062.jpeg,True,data\raw\Annotations\IMG000062.json,501,735
IMG000063.jpeg,1,True,data\raw\images\IMG000063.jpeg,True,data\raw\Annotations\IMG000063.json,467,812
IMG000064.jpeg,1,True,data\raw\images\IMG000064.jpeg,True,data\raw\Annotations\IMG000064.json,481,813
IMG000065.jpeg,1,True,data\raw\images\IMG000065.jpeg,True,data\raw\Annotations\IMG000065.json,428,769
IMG000066.jpeg,1,True,data\raw\images\IMG000066.jpeg,True,data\raw\Annotations\IMG000066.json,492,787
IMG000067.jpeg,1,True,data\raw\images\IMG000067.jpeg,True,data\raw\Annotations\IMG000067.json,408,719
IMG000068.jpeg,1,True,data\raw\images\IMG000068.jpeg,True,data\raw\Annotations\IMG000068.json,418,722
IMG000069.jpeg,1,True,data\raw\images\IMG000069.jpeg,True,data\raw\Annotations\IMG000069.json,564,802
IMG000070.jpeg,1,True,data\raw\images\IMG000070.jpeg,True,data\raw\Annotations\IMG000070.json,508,808
IMG000071.jpeg,1,True,data\raw\images\IMG000071.jpeg,True,data\raw\Annotations\IMG000071.json,898,805
IMG000072.jpeg,1,True,data\raw\images\IMG000072.jpeg,True,data\raw\Annotations\IMG000072.json,548,811
